id;Abréviation;Définition;empty
14609.0;BCE;Équipe Bogie Caisse Électrique;
374.0;BCE;Bazoches (GARE);
397.0;BEA;Beaune (GARE);
415.0;BF;Bourganeuf (GARE);
6270.0;BHR;Bureau horaires régional;
12140.0;BIV;Borne d'information voyageur;
6276.0;BJ;Bande Jaune_x000D_;
6281.0;BL;BanLieue;
4395.0;BLUS;Block manuel de double voie de type Lartigue Uniformisé Simplifié_x000D_;
516.0;BNA;Bruxelles National Aeroport (GARE);
4409.0;BPS;Bips Par Seconde : unité de transmission de données sur un réseau local ou une ligne téléphonique;
580.0;BSA;Bourg St Andeol (GARE);
587.0;BSL;Bordeaux St Louis (GARE);
13021.0;BTX;Bon de Travaux;
622.0;BUC;Busseau Sur Creuse (GARE);
627.0;BUL;Bulle (GARE);
629.0;BUO;Bussoleno (GARE);
667.0;BYK;Blanzy (GARE);
675.0;BYY;Bussy Lettree Vatry  (GARE);
683.0;BZV;Bouzonville (GARE);
13507.0;CAAS;Console Agent Accompagnateur Secondaire;
6332.0;CACPH;"CAdre Commercial Principal Hors classe._x000D_
Grade de qualification G, de la filière ""Commercial"". Niveau 2._x000D_";
14717.0;CADD;"CAdre ADministratif de Direction (RH 0263)._x000D_
Grade de qualification H, de la filière Administrative. Niveau 1._x000D_";
4430.0;CAI;Centre d'Appareillage Intermédiaire  (situé entre les PRS sur lignes à  grande vitesse);
6347.0;CAMMH;"CAdre de Maintenance Matériel Hors classe._x000D_
Grade de qualification F, de la filière Matériel, spécialité Maintenance. Niveau 2.";
4434.0;CAP;Contrat annuel de production des établissements chargés de la maintenance et des travaux sur les installations de l'infrastructure (outil de ouessant);
6356.0;CAPMP;"Cadre APprovisionnements Matériel Principal._x000D_
Grade de qualification G, de la filière Matériel, spécialité Approvisionnements. Niveau 1._x000D_";
6363.0;CATAC;Construction Assistée des Tournées d'Agent de Conduite_x000D_;
14884.0;CB;Compensé Bouclé;
9587.0;CCAS;Centre communal d'action sociale;
14736.0;CCCC;Cross Channel Catering Company_x000D_;
3858.0;CCD;Commande centralisée de départ;
4455.0;CCS;Centre de contrôle et de surveillance (auteuil);
3860.0;CDC;Chef de circulation;
9592.0;CDEP;Comité départemental économique et professionnel;
6440.0;CEMH;"Cadre d'Etudes Matériel Hors classe._x000D_
Grade de qualification F, de la filière Matériel, spécialité Etudes. Niveau 2.";
4508.0;CFE;Confédération française de l'encadrement;
6473.0;CFL;Chemins de fer luxembourgeois;
787.0;CFT;Colombier Fontaine (Gare);
6479.0;CFV;Commande feux violet;
829.0;CIL;Cornil (Gare);
1027.0;CYP;Cergy - Prefecture (Gare);
1043.0;CZR;Ceyzeriat (Gare);
14536.0;D;Disjoncteur d'alimentation;
14626.0;DA;Département d'Affaires;
6712.0;DAR;Direction de l'action régionale;
6723.0;DBS;Distributeur de billets et de suppléments;
4728.0;DDGT-IMMO;Direction déléguée des gares transiliennes - département immobilier;
6765.0;DF;Dimanches et fêtes;
6773.0;DGF;Délégation gestion finance;
6787.0;DJ;Direction juridique;
9736.0;DJF;Dossier de justification du fonctionnement;
14851.0;DJM;Dispositif à  Joints Multiples;
9737.0;DJS;Dossier jalons de la sécurité;
1094.0;DKM;DUNKERQUE FERRY (GARE);
6796.0;DM;Défaut majeur;
1103.0;DMI;driver machine interface;
6802.0;DMI;Desktop management interface ( ensemble d'outil pour l'administrateur système );
6808.0;DN;Durée normale;
14433.0;DNRE;Détection de Non-Rotation d'Essieu;
14789.0;DPAE;Déclaration Préalable A l'Embauche;
1135.0;DRT;DERCY MORTIERS (GARE);
1136.0;DRW;LE DRAMONT (GARE);
4841.0;DSE;Dossier de spécifications externes;
5050.0;GIR;Gratification Individuelle de Résultat : prime qui vient récompenser l'implication d'un cadre dans son travail et les résultats obtenus au regard de ses objectifs.;
1461.0;GLS;GENLIS (GARE);
13798.0;GPA;Grillage Plaqué Ancré;
14028.0;GPF;Groupe Public Ferroviaire;
7159.0;GREE;Groupe régional d' energie electrique;
1510.0;GUF;GUNDERSHOFFEN (GARE);
1539.0;HAUT-LE-PIED;Circulation non commerciale (exÂ : retour d'une locomotive au dépôt);
7183.0;HC;Hydro-carbures;
1565.0;HIN;HUNINGUE (GARE);
7195.0;HQE;Haute qualité envrionnementale;
5095.0;IA;Indicateur d'action;
4558.0;CLI;Commissionv locale d'information;
9769.0;IAI;Interrupteur d'alarme incendie;
4559.0;CLIPE;Comité de liaison inter associations des préventeurs européens;
9645.0;IAURIF;Institut d'aménagement et d'urbanisme de la région île-de-france;
855.0;CLN;Culan (Gare);
5099.0;ICARE;Interface de communication entre des applications et le reseau (informatique);
4564.0;CLSPD;Conseils locaux de sécurité et de prévention de la délinquance;
12170.0;ICE;Intercity express;
6528.0;CM;Commande manoeuvre;
7208.0;ICE;Intercity/eurocity ( train grande vitesse allemand );
14488.0;CME;Charge Maximale d'Exploitation;
7224.0;IF;Installation ferroviaire;
883.0;CNE;Chalonnes (Gare);
